,Unnamed: 0,tic,high,low,open,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,date
970,970,BVH,0.161904762,0.170523752,0.169491525,0.170084439,0.116507319,0.411722452,0.162731725,0.218725488,0.494099531,0.431283746,0.154071389,0.158679497,0.158124672,0.040788578,0.016389403,2014-01-10
971,971,BVH,0.158333333,0.168087698,0.173123487,0.165259349,0.026305102,0.414120972,0.16186996,0.219075548,0.475307437,0.409452788,0.098358362,0.15744093,0.157974886,0.056288229,0.009576665,2014-01-13
972,972,BVH,0.158333333,0.169305725,0.169491525,0.166465621,0.03925459,0.416740781,0.16186996,0.219075548,0.480418109,0.420607892,0.098358362,0.156535823,0.157675313,0.042692037,0.020813931,2014-01-14
973,973,BVH,0.155952381,0.168087698,0.168280872,0.166465621,0.065936204,0.418960879,0.161533713,0.219205357,0.480418109,0.41563292,0.068875531,0.155344893,0.157475597,0.042692037,0.047315529,2014-01-15
974,974,BVH,0.155952381,0.165651644,0.168280872,0.165259349,0.069635756,0.42029928,0.161242151,0.219281201,0.475462061,0.409533901,0.010861389,0.154249238,0.157001273,0.046091085,0.041492389,2014-01-16
975,975,BVH,0.18452381,0.177831912,0.176755448,0.197828709,0.437888146,0.436142116,0.170726125,0.211419218,0.592794223,0.687460325,0.41670646,0.154677973,0.157200989,0.044867425,0.064319652,2014-01-17
976,976,BVH,0.253571429,0.246041413,0.265133172,0.267792521,0.383634402,0.501240662,0.214928118,0.176824187,0.729601605,1.0,0.721944018,0.159632241,0.160096862,0.050713792,0.108042279,2014-01-21
977,977,BVH,0.282142857,0.263093788,0.265133172,0.277442702,0.43445723,0.534194272,0.236032952,0.164321113,0.74216393,0.909384562,0.775564513,0.163395579,0.162019123,0.05030591,0.060997082,2014-01-22
978,978,BVH,0.263095238,0.257003654,0.273607748,0.25331725,0.182100855,0.547977041,0.246825465,0.161785438,0.662556748,0.737485428,0.702423082,0.166730183,0.163442095,0.062950374,0.032241362,2014-01-23
979,979,BVH,0.253571429,0.248477467,0.261501211,0.25331725,0.155979778,0.557447478,0.256159233,0.160873296,0.662556748,0.664171082,0.60356262,0.169826601,0.164989889,0.122365721,0.036280381,2014-01-24
980,980,BVH,0.248809524,0.253349574,0.255447942,0.259348613,0.086066926,0.566147537,0.265396438,0.16104469,0.67197027,0.63326579,0.60356262,0.173304116,0.166762364,0.112576472,0.042601183,2014-01-27
981,981,BVH,0.261904762,0.257003654,0.261501211,0.276236429,0.170722988,0.579033959,0.276270736,0.162277928,0.696494702,0.629193075,0.640983708,0.177639101,0.168859375,0.109993188,0.059669018,2014-02-06
982,982,BVH,0.267857143,0.252131547,0.284503632,0.256936068,0.083871309,0.578756504,0.282160078,0.166906792,0.639931445,0.593266914,0.656727933,0.181116616,0.17040717,0.08361658,0.036379248,2014-02-07
983,983,BVH,0.247619048,0.25091352,0.263922518,0.256936068,0.102079279,0.576860333,0.286964036,0.172846429,0.639931445,0.562885777,0.641332959,0.184641768,0.171905035,0.083208698,0.035393119,2014-02-10
984,984,BVH,0.251190476,0.253349574,0.267554479,0.252110977,0.135686183,0.571544619,0.290128892,0.180074885,0.626323216,0.551438172,0.65170769,0.188024009,0.173427865,0.073011553,0.019766192,2014-02-11
985,985,BVH,0.269047619,0.255785627,0.254237288,0.279855247,0.184958541,0.578277598,0.296740301,0.185765579,0.668282464,0.567385388,0.698344638,0.192549543,0.175574806,0.070156352,0.030450637,2014-02-12
986,986,BVH,0.278571429,0.280146163,0.291767554,0.278648975,0.096987901,0.581336158,0.301783432,0.193073956,0.664924321,0.572251831,0.719739549,0.19683689,0.177621889,0.067980963,0.027527539,2014-02-13
987,987,BVH,0.269047619,0.276492083,0.280871671,0.275030157,0.080025806,0.580394582,0.304857578,0.2023458,0.654714095,0.552372717,0.672178107,0.201219512,0.179718901,0.060231125,0.019572324,2014-02-14
988,988,BVH,0.266666667,0.269183922,0.267554479,0.275030157,0.061728996,0.573123566,0.30767052,0.222983608,0.650135926,0.532627346,0.588584554,0.209984756,0.184037746,0.064309985,0.115040143,2014-02-18
989,989,BVH,0.269047619,0.276492083,0.284503632,0.278648975,0.108194433,0.570626711,0.306990928,0.236788687,0.65580387,0.533186223,0.596605966,0.214653201,0.186234616,0.086471781,0.072211276,2014-02-19
990,990,BVH,0.26547619,0.242387333,0.279661017,0.254523522,0.140181064,0.556219716,0.302096286,0.252783343,0.589896499,0.497107723,0.235814553,0.21875,0.187857303,0.076818483,0.043627265,2014-02-20
991,991,BVH,0.251190476,0.249695493,0.255447942,0.25331725,0.060574076,0.542966989,0.294378516,0.272049244,0.586845954,0.489028205,0.235814553,0.22265625,0.189455027,0.075322907,0.033638749,2014-02-21
992,992,BVH,0.245238095,0.249695493,0.250605327,0.256936068,0.047061934,0.532942558,0.280968807,0.298741589,0.5933719,0.484342511,0.235814553,0.226705412,0.191152608,0.06920461,0.025948815,2014-02-24
993,993,BVH,0.254761905,0.257003654,0.259079903,0.267792521,0.109842203,0.528821043,0.271652407,0.318004249,0.612373469,0.49728344,0.291653918,0.231135671,0.193099833,0.061590749,0.045187041,2014-02-25
994,994,BVH,0.25952381,0.266747868,0.274818402,0.270205066,0.065060496,0.525568671,0.268885475,0.325765966,0.616493266,0.504614099,0.318278476,0.235470655,0.195047058,0.070836164,0.063446749,2014-02-26
995,995,BVH,0.269047619,0.264311815,0.272397094,0.260554885,0.139548608,0.517602003,0.268638328,0.325235646,0.590522657,0.500353539,0.368985698,0.239376905,0.196445066,0.066621339,0.059388736,2014-02-27
996,996,BVH,0.261904762,0.261875761,0.267554479,0.264173703,0.101436247,0.512008129,0.267266384,0.32537304,0.597106785,0.493656716,0.342290396,0.243426067,0.197818109,0.066077492,0.03516776,2014-02-28
997,997,BVH,0.264285714,0.263093788,0.273607748,0.259348613,0.089292664,0.504534413,0.267035303,0.326342764,0.58415124,0.490452147,0.355713748,0.247094131,0.199041366,0.093269877,0.049718211,2014-03-03
998,998,BVH,0.245238095,0.248477467,0.250605327,0.25331725,0.067846264,0.495129824,0.267035303,0.326342764,0.568209153,0.451009809,0.198711839,0.250381098,0.20018973,0.067437116,0.02073956,2014-03-04
999,999,BVH,0.246428571,0.255785627,0.262711864,0.254523522,0.055070226,0.487579005,0.267193732,0.32559891,0.570633536,0.454444769,0.206889581,0.25390625,0.201388022,0.064581915,0.027914779,2014-03-05
1000,1000,BVH,0.246428571,0.257003654,0.255447942,0.256936068,0.065775446,0.482109851,0.265832136,0.325033149,0.575564062,0.450849754,0.206889581,0.25747904,0.20278603,0.068932693,0.025750492,2014-03-06
1001,1001,BVH,0.252380952,0.261875761,0.261501211,0.259348613,0.053631864,0.478333957,0.265804742,0.325342495,0.580546843,0.462000453,0.250587713,0.261147104,0.20408418,0.067573068,0.035886507,2014-03-07
