,Unnamed: 0,high,low,open,close,volume,tic,date,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
2993,2993,44.4,42.5,43.8,44.3,15110,BVH,2010-05-25,0.3310223671980097,51.748046123698856,44.371953876301134,50.53903239761126,-73.40707560106047,36.000155687016054,46.513333333333335,44.56666666666667,34.61000061035156,0.0
3027,3027,44.5,43.0,44.5,44.0,32900,BVH,2010-05-26,0.0646769200389343,51.91595924929118,44.08404075070882,49.87752246659298,-71.00085543199312,34.9058329075848,46.513333333333335,44.66333333333333,35.02000045776367,0.0
3061,3061,45.5,41.8,41.8,45.3,50430,BVH,2010-05-27,-0.0410993824137051,51.99280900923442,43.83719099076559,52.65547344758432,-62.7869462712494,40.99604095663911,46.6,44.78166666666666,29.68000030517578,0.0
3095,3095,47.5,45.3,45.9,47.5,109370,BVH,2010-05-28,0.0518862293915134,51.85325546673334,43.79674453326667,56.84289723069063,5.467880295985975,20.851612515790407,46.75,44.93999999999999,32.06999969482422,0.0
3129,3129,47.0,44.9,47.0,46.8,6900,BVH,2010-06-01,0.0804484982261826,51.590486828878205,43.61951317112179,55.23488550422221,-19.9115044247788,24.159121838505197,47.016666666666666,45.15166666666667,35.540000915527344,0.0
3163,3163,46.8,46.0,46.8,46.8,20210,BVH,2010-06-02,0.0890199105232554,51.45234773667281,43.54765226332719,55.234885504222206,-15.229430379747058,24.159121838505197,47.14333333333333,45.208333333333336,30.170000076293945,0.0
3197,3197,46.8,45.2,46.8,46.0,15680,BVH,2010-06-03,0.0309322538138303,51.35223786724346,43.39776213275654,53.326280677613816,-40.03350083752103,28.802036860663648,47.24,45.22166666666666,29.459999084472656,0.0
3231,3231,46.3,46.0,46.0,46.0,23720,BVH,2010-06-04,-0.0149302962202568,51.235500034665606,43.2644999653344,53.326280677613816,-41.211323238972845,28.802036860663648,47.32333333333333,45.27166666666666,35.47999954223633,0.0
3265,3265,46.0,44.0,44.0,45.0,21900,BVH,2010-06-07,-0.13043304807492,51.13604731112082,43.01395268887919,50.97027639815051,-87.50279454504813,39.40010389291382,47.34666666666666,45.34,36.56999969482422,0.0
3299,3299,46.3,45.0,45.0,46.3,103760,BVH,2010-06-08,-0.1157735591711457,50.95524999218845,42.95475000781155,53.720034058321,-55.410661175932006,36.150479084376414,47.39,45.39666666666667,33.70000076293945,0.0
3333,3333,46.3,45.0,45.0,46.0,15890,BVH,2010-06-09,-0.1268924293077091,50.79653877599196,42.87346122400803,53.010298789826805,-61.285084667130526,36.150479084376414,47.41666666666666,45.41333333333333,33.72999954223633,0.0
3367,3367,46.1,44.2,46.0,46.0,65560,BVH,2010-06-10,-0.1341576189159781,50.1876499196221,43.032350080377896,53.010298789826805,-72.30174960236292,40.38515944744052,47.38333333333333,45.42166666666667,30.56999969482422,0.0
3401,3401,46.2,46.0,46.2,46.1,18370,BVH,2010-06-11,-0.1303458485710606,49.6204394558729,43.2095605441271,53.23071629630086,-41.9959566256204,39.15198052548959,47.27666666666666,45.46833333333333,28.790000915527344,0.0
