,date,close,open,high,low,volumn,change
2430,2012-07-19,428.38,417.77,428.38,417.77,84.90K,2.28%
2429,2012-07-20,424.47,432.1,432.46,424.47,72.95K,-0.91%
2428,2012-07-23,421.99,423.31,426.13,421.42,50.66K,-0.58%
2427,2012-07-24,415.63,420.19,420.62,414.6,44.84K,-1.51%
2426,2012-07-25,412.91,412.94,415.71,412.56,43.52K,-0.65%
2425,2012-07-26,414.8,413.78,416.63,412.89,30.78K,0.46%
2424,2012-07-27,413.16,416.43,417.68,412.47,38.35K,-0.40%
2423,2012-07-30,415.0,410.57,415.31,410.08,26.69K,0.45%
2422,2012-07-31,414.48,415.7,416.57,414.19,25.40K,-0.13%
2421,2012-08-01,412.55,413.73,413.99,410.54,27.62K,-0.47%
2420,2012-08-02,416.1,414.23,417.96,414.23,21.90K,0.86%
2419,2012-08-03,418.21,417.63,419.26,417.09,24.18K,0.51%
2418,2012-08-06,423.16,419.29,423.77,419.29,44.57K,1.18%
2417,2012-08-07,422.5,423.72,425.46,422.44,33.16K,-0.16%
2416,2012-08-08,423.57,422.74,424.52,421.31,23.80K,0.25%
2415,2012-08-09,426.98,424.43,428.21,424.43,43.06K,0.81%
2414,2012-08-10,425.56,427.49,427.93,425.06,37.45K,-0.33%
2413,2012-08-13,426.17,423.79,426.38,423.44,29.84K,0.14%
2412,2012-08-14,429.47,425.79,430.89,425.79,50.53K,0.77%
2411,2012-08-15,430.77,429.96,432.44,429.96,39.64K,0.30%
2410,2012-08-16,430.83,430.77,433.63,429.43,26.76K,0.01%
2409,2012-08-17,433.45,430.83,434.72,430.83,37.82K,0.61%
2408,2012-08-20,437.28,435.33,437.61,434.92,41.50K,0.88%
2407,2012-08-21,416.84,430.79,430.79,416.23,70.06K,-4.67%
2406,2012-08-22,410.23,404.22,413.42,404.17,74.16K,-1.59%
2405,2012-08-23,392.82,400.03,400.07,391.54,38.83K,-4.24%
2404,2012-08-24,399.72,379.45,402.22,378.17,94.64K,1.76%
2403,2012-08-27,386.19,395.37,395.61,385.05,42.33K,-3.38%
2402,2012-08-28,385.78,381.06,386.05,379.61,41.23K,-0.11%
2401,2012-08-29,393.06,389.85,394.04,389.85,41.60K,1.89%
2400,2012-08-30,397.25,394.9,399.44,393.37,39.04K,1.07%
2399,2012-08-31,396.02,396.88,398.19,394.29,33.35K,-0.31%
2398,2012-09-04,402.08,397.37,403.25,397.37,29.64K,1.53%
2397,2012-09-05,398.92,402.56,404.87,396.31,45.71K,-0.79%
2396,2012-09-06,393.41,396.41,398.77,393.41,33.45K,-1.38%
2395,2012-09-07,397.51,395.25,397.51,392.56,33.47K,1.04%
2394,2012-09-10,388.88,395.72,396.27,386.19,48.79K,-2.17%
2393,2012-09-11,386.62,383.87,388.02,383.87,35.75K,-0.58%
2392,2012-09-12,388.35,387.03,390.3,387.03,32.62K,0.45%
2391,2012-09-13,391.36,388.55,391.36,387.68,37.26K,0.78%
