,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
60,^VNINDEX,2000-12-18,191.11,191.11,191.11,191.11,82200,13.277469373846287,196.01133378218364,140.96166621781637,88.79199829057397,133.55227581476942,74.69446123339722,157.35733333333334,136.25,27.700000762939453,0.0
61,^VNINDEX,2000-12-20,194.85,194.85,194.85,194.85,39400,13.62626344616578,198.69679384434767,143.17820615565233,89.44220110822127,138.7527254577454,76.82958372262334,159.63733333333337,137.80499999999998,31.739999771118164,0.0
62,^VNINDEX,2000-12-22,198.58,198.58,198.58,198.58,61300,14.039422546530545,201.71854983460122,145.15745016539876,90.0384247139276,143.34883939479377,78.74179034674003,161.971,139.39166666666668,27.549999237060547,0.0
63,^VNINDEX,2000-12-27,203.09,203.09,203.09,203.09,41250,14.75514233531186,207.99085516485056,148.88614483514945,90.69926050114303,140.0240615853454,80.8125660406052,166.69933333333336,142.61316666666667,28.139999389648438,0.0
64,^VNINDEX,2000-12-29,206.83,206.83,206.83,206.83,60150,15.083919580598746,211.24521685810507,150.63078314189497,91.21350924298835,141.40330411084145,82.41671626561586,169.09233333333336,144.24966666666666,26.850000381469727,0.0
65,^VNINDEX,2001-01-03,210.56,210.56,210.56,210.56,43600,15.4654015372098,214.7919996940219,152.18000030597807,91.68768385368138,142.43731647813328,83.8556768742753,171.55933333333334,145.91966666666667,26.600000381469727,0.0
66,^VNINDEX,2001-01-05,214.32,214.32,214.32,214.32,50400,15.886334457404757,218.6084759009515,153.5595240990485,92.13054711052354,143.41182096540504,85.16398183082748,174.13400000000001,147.62366666666668,28.670000076293945,0.0
67,^VNINDEX,2001-01-08,218.12,218.12,218.12,218.12,71700,16.336672176709925,222.7271361376445,154.68286386235548,92.54575923019567,144.30044463461826,86.3582925363174,176.75233333333333,149.36233333333334,29.84000015258789,0.0
68,^VNINDEX,2001-01-10,222.15,222.15,222.15,222.15,184400,16.823295095759903,226.8362040542238,156.23679594577618,92.95364158519453,145.81364473765106,87.49913379995417,179.46266666666668,151.13949999999997,26.799999237060547,0.0
69,^VNINDEX,2001-01-12,225.67,225.67,225.67,225.67,224000,17.292384592181833,230.82432868861105,158.19867131138892,93.28561158400682,145.48789795271657,88.40454448646963,182.2073333333333,152.94666666666666,24.559999465942383,0.0
70,^VNINDEX,2001-01-17,232.68,232.68,232.68,232.68,88120,18.118740201079788,238.01503693508434,163.67796306491564,93.89115463032279,144.94148775975546,90.0104114562454,187.76166666666668,156.66716666666667,24.93000030517578,0.0
71,^VNINDEX,2001-01-19,236.97,236.97,236.97,236.97,42920,18.600391250800357,241.98079542778288,166.2222045722171,94.22512923697033,146.24040382795243,90.85947850488463,190.61666666666667,158.66666666666666,23.239999771118164,0.0
72,^VNINDEX,2001-01-29,241.36,241.36,241.36,241.36,9050,19.114855726215097,246.1808776709157,168.65812232908436,94.54106082812493,146.51164215310914,91.63702457492239,193.526,160.77016666666668,22.610000610351562,0.0
